Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Idle Mean,Idle Std,Idle Min,Label
8098507,7,5,50,11607,20,0,7215,0,1439.401114,1.4817546,736227.9091,1863101.343,4,1336039.833,165,83027,20756.75,40847.23003,4,0,152,0.61739775,0,7215,897.1538462,0,0,0,1,0,0,256,229,5,20,1940002.0,0.0,1940002,6075462.0,0.0,6075462,DDoS
170061,3,5,26,11607,20,0,5840,0,68404.86649,47.04194377,24294.42857,63938.15585,3,298.5,47,170013,42503.25,84526.16728,3,0,72,29.40121486,0,5840,1292.555556,0,0,1,0,0,1,8192,229,2,20,0.0,0.0,0,0.0,0.0,0,DDoS
94931,3,5,26,11601,20,0,7215,0,122478.4317,84.27173421,13561.57143,31113.1597,4,5494.5,4,94851,23712.75,40207.34665,61,0,72,52.66983388,0,7215,1291.888889,0,0,1,0,0,1,8192,229,2,20,0.0,0.0,0,0.0,0.0,0,DDoS
8324787,4,0,24,0,6,6,0,0,2.882956645,0.480492774,2774929.0,4805672.827,319,2774929.0,319,0,0.0,0.0,0,0,80,0.0,6,6,6.0,0,0,0,1,0,0,256,-1,3,20,745.0,0.0,745,8324042.0,0.0,8324042,DDoS
2039028,4,0,24,0,6,6,0,0,11.77031409,1.961719015,679676.0,1176521.503,251,679676.0,251,0,0.0,0.0,0,0,80,0.0,6,6,6.0,0,0,0,1,0,0,256,-1,3,20,0.0,0.0,0,0.0,0.0,0,DDoS
95902959,8,4,56,11601,20,0,8760,0,121.5499513,0.125126483,8718450.818,28500000.0,78,13700000.0,119,35761,11920.33333,19531.38025,188,0,172,0.041708828,0,8760,897.1538462,0,0,0,1,0,0,256,229,6,20,1080819.0,0.0,1080819,94800000.0,0.0,94800000,DDoS
83492894,8,7,56,11607,20,0,4380,0,139.6885345,0.179656008,5963778.143,21900000.0,1,11900000.0,1,92650,15441.66667,36304.57142,18,0,172,0.08383947,0,4380,729.3125,0,0,0,1,0,0,256,229,6,20,1237999.0,0.0,1237999,82200000.0,0.0,82200000,DDoS
98977577,8,5,56,11601,20,0,4380,0,117.77415,0.13134288,8248131.417,25000000.0,3,14100000.0,3,29267,7316.75,9853.967606,49,0,172,0.050516492,0,4380,833.0714286,0,0,0,1,0,0,256,229,6,20,6050.0,0.0,6050,49500000.0,52900000.0,12000000,DDoS
32911,3,4,26,11601,20,0,10135,0,353286.1353,212.6948437,5485.166667,8507.651883,28,6512.0,492,32846,10948.66667,9894.243899,194,0,72,121.5399107,0,10135,1453.375,0,0,1,0,0,1,8192,229,2,20,0.0,0.0,0,0.0,0.0,0,DDoS
507873,3,6,26,11601,20,0,2920,0,22893.51866,17.72096567,63484.125,165173.7091,49,17985.0,49,507756,101551.2,207162.418,64,0,72,11.81397712,0,2920,1162.7,0,0,1,0,0,2,8192,229,2,20,0.0,0.0,0,0.0,0.0,0,DDoS
